	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
arvcfb	0.0164428688985178	0.251460215218262	0.624	0.579	1	2.05797101449275	1.37313432835821	1.13492063492063	2.5	0.801587301587301	1.75555555555555
pvrl2l	0.0176266949125159	0.260624271430795	0.849	0.855	1	3.60869565217391	4.3134328358209	5.33333333333333	4.1969696969697	4.99206349206349	3.13333333333333
col7a1l	0.0246519866513385	0.338966416073462	0.388	0.33	1	0.0289855072463768	0.805970149253732	0.246031746031746	2.24242424242424	0.246031746031746	1.61111111111111
jag1a	0.0256203401608549	-0.280827308480553	0.054	0.102	1	0.130434782608696	0.0447761194029851	0.150793650793651	0.0454545454545455	0.857142857142857	0.333333333333333
efna2a	0.0286705628122159	-0.564711263942241	0.574	0.611	1	8.82608695652174	2.22388059701493	1.55555555555555	1.88636363636364	0.817460317460318	0.733333333333333
pax7b	0.0291022757716587	0.255647754066447	0.353	0.276	1	0.811594202898551	2.62686567164179	2.12698412698413	0.818181818181818	0.944444444444445	0.577777777777778
celf2	0.0437887266252376	-0.368361955344233	0.578	0.594	1	1.95652173913043	2.2089552238806	1.26984126984127	1.81060606060606	4.6031746031746	0.766666666666666
inavaa	0.115105429199479	-0.312662103041693	0.248	0.285	1	0.0144927536231884	0.164179104477612	0.634920634920635	0.484848484848485	2.14285714285714	1.08888888888889
fgfr3	0.134973446075147	-0.259736612008326	0.566	0.592	1	2.39130434782609	2.08955223880597	1.76190476190476	1.66666666666667	1.84920634920635	1.01111111111111
nlgn3a	0.145743121286876	0.291998700315853	0.349	0.305	1	0.318840579710145	0.701492537313433	0.976190476190476	1.53787878787879	1.84920634920635	0.666666666666667
timp2b	0.175196157169257	0.325085519143171	0.252	0.216	1	0.0869565217391304	0.119402985074627	2.8015873015873	0.0303030303030303	2.93650793650793	0.0666666666666667
